country,avg_temperature_celsius,avg_precip_mm,avg_humidity,avg_pm25,record_count
South Korea,16.320383036935706,0.09601915184678522,60.64021887824897,47.5122366621067,731
Гватемала,15.9,0.0,95.0,40.8,1
Spain,15.508731241473397,0.04994542974079127,62.89085948158254,15.673417462482947,733
Australia,15.468758526603002,0.10504774897680765,63.74761255115962,7.715000000000001,733
Romania,15.296443228454173,0.050287277701778384,62.6155950752394,26.128351573187416,731
Serbia,15.111323328785812,0.10045020463847203,63.956343792633014,25.537960436562074,733
Argentina,14.89781121751026,0.09426812585499315,82.19562243502052,11.115725034199727,731
Mexico,14.633104395604395,0.04549450549450549,68.01510989010988,45.55322802197802,728
Uruguay,14.51844262295082,0.09489071038251365,86.93169398907104,11.61313524590164,732
Bulgaria,14.392992874109263,0.09866389548693587,61.336104513064136,18.472099168646082,1684
New Zealand,14.044808743169398,0.1626775956284153,78.31147540983606,6.600894808743169,732
North Korea,13.996990424076607,0.08633378932968536,58.18057455540356,35.322010943912446,731
Croatia,13.887260273972604,0.10091780821917809,70.04383561643836,23.009027397260276,730
Colombia,13.5,0.02,80.0,13.6,1
Bhutan,13.354582763337895,0.3007387140902873,60.99042407660739,9.785896032831737,731
Hungary,13.127560975609757,0.05426829268292683,65.41341463414633,19.04883536585366,820
Slovakia,13.062346521145976,0.0672169167803547,67.33287858117326,17.743669849931788,733
France,13.031420765027322,0.10168032786885245,76.62158469945355,18.25363387978142,732
Slovenia,12.785948158253753,0.19174624829467943,74.05729877216916,23.456780354706684,733
Bosnia and Herzegovina,12.699454297407915,0.15788540245566168,71.66984993178717,26.294406548431105,733
Austria,12.59167803547067,0.07246930422919509,67.96316507503411,17.627912687585265,733
Belgium,12.274090247452692,0.08336972343522561,77.146288209607,17.50122998544396,1374
Netherlands,12.160572987721693,0.09791268758526603,77.42155525238745,17.175648021828103,733
United Kingdom,12.030916552667579,0.0794938440492476,78.64295485636114,14.917886456908345,731
Ukraine,11.986784741144414,0.054196185286103545,60.55177111716621,15.720776566757491,734
Germany,11.619645293315145,0.06601637107776262,71.60845839017735,15.556787175989086,733
Poland,11.405040871934604,0.05426430517711171,69.67029972752043,25.18300408719346,734
Chile,11.20068493150685,0.051041095890410955,75.14657534246575,145.20541780821918,730
Czech Republic,10.783994528043776,0.07064295485636116,72.13543091655266,17.758816689466485,731
Ireland,10.75485636114911,0.13436388508891928,81.63474692202462,9.40469220246238,731
Denmark,10.671721311475409,0.08676229508196721,76.48360655737704,10.826270491803278,732
Luxembourg,10.57906976744186,0.08898768809849521,79.3734610123119,14.28186730506156,731
Ecuador,10.501236263736264,0.09019230769230768,83.80082417582418,10.85375,728
Switzerland,10.121510883482713,0.1541741357234315,79.07042253521126,12.07270038412292,781
Liechtenstein,9.864754098360656,0.18472677595628414,81.44398907103825,7.603545081967213,732
